Assemblages,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22
aII,1,7,6,4,2,0,0,1,1,0,0,0,0,0,3,0,0,0,6,0,1,0
aIII,2,4,7,4,2,1,0,7,0,4,2,0,3,0,3,0,0,0,18,0,4,2
aIV,5,10,3,8,4,3,0,5,1,5,4,0,3,1,5,0,0,0,14,0,5,3
aV,0,3,2,15,7,1,0,5,1,3,5,0,3,0,6,0,0,0,11,1,5,3
aVI,8,1,0,6,3,4,1,10,7,5,7,0,0,0,2,1,0,0,15,0,6,6
aVII,24,5,1,1,3,16,0,14,9,2,6,0,0,0,2,0,0,0,18,1,12,12
aVIII,11,0,0,0,0,6,0,7,4,0,2,0,0,0,6,0,0,0,8,1,0,3
aIX,7,3,0,0,0,7,1,4,4,1,2,1,0,0,5,0,0,0,2,2,4,1
aX,14,2,0,0,0,7,0,8,6,0,0,0,0,0,7,0,1,3,9,2,4,4
aXI,32,3,0,0,0,11,0,8,0,1,0,0,0,0,0,0,5,3,12,6,6,5
aXII,36,2,0,0,0,2,1,9,2,0,0,2,0,0,0,1,6,5,6,2,2,0
aXIII,20,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,2,9,5,0,2,3
